Date-Time,Region,Facility,Entrance,Entries,Exits
11/1/17 12:00 AM,,,VLSB1,0,0
11/1/17 12:00 AM,,,VLSB2,0,0
11/1/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,680,749
11/1/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1990,1903
11/1/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1699,1845
11/1/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1782,1774
11/1/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,979,990
11/1/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
11/1/17 12:00 AM,UC Berkeley,EART Library,Earth North,137,184
11/1/17 12:00 AM,UC Berkeley,EART Library,Earth South,170,121
11/1/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
11/1/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
11/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4818,135
11/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,4254
11/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3869,4138
11/1/17 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
11/1/17 12:00 AM,UC Berkeley,NEWS Library,News,95,94
11/1/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
11/1/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
11/1/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
11/1/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
11/2/17 12:00 AM,,,VLSB1,0,0
11/2/17 12:00 AM,,,VLSB2,0,0
11/2/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,664,680
11/2/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1963,1890
11/2/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1515,1647
11/2/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1455,1454
11/2/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,861,890
11/2/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
11/2/17 12:00 AM,UC Berkeley,EART Library,Earth North,113,144
11/2/17 12:00 AM,UC Berkeley,EART Library,Earth South,148,118
11/2/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
11/2/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
11/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4090,71
11/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,23,3671
11/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3353,3667
11/2/17 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
11/2/17 12:00 AM,UC Berkeley,NEWS Library,News,87,89
11/2/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
11/2/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
11/2/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
11/2/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
11/3/17 12:00 AM,,,VLSB1,0,0
11/3/17 12:00 AM,,,VLSB2,0,0
11/3/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,578,546
11/3/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1732,1611
11/3/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1314,1450
11/3/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1021,843
11/3/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,706,800
11/3/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
11/3/17 12:00 AM,UC Berkeley,EART Library,Earth North,93,96
11/3/17 12:00 AM,UC Berkeley,EART Library,Earth South,80,78
11/3/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
11/3/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
11/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2813,76
11/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,18,2662
11/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2421,3090
11/3/17 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
11/3/17 12:00 AM,UC Berkeley,NEWS Library,News,87,84
11/3/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
