Date-Time,Region,Facility,Entrance,Entries,Exits
5/1/18 12:00 AM,,,Sensor Name,0,0
5/1/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,527,545
5/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,682,792
5/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,607,500
5/1/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,331,348
5/1/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1997,1858
5/1/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1439,1602
5/1/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1837,1875
5/1/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,819,867
5/1/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,758,752
5/1/18 12:00 AM,UC Berkeley,EART Library,Earth North,122,119
5/1/18 12:00 AM,UC Berkeley,EART Library,Earth South,121,120
5/1/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,1872,1842
5/1/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,1266,1261
5/1/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,328,331
5/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4019,71
5/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,32,3595
5/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2881,3021
5/1/18 12:00 AM,UC Berkeley,MORR Library,Morrison,210,198
5/1/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
5/1/18 12:00 AM,UC Berkeley,NEWS Library,News,100,96
5/1/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,232,232
5/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,129,126
5/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,94,94
5/1/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,227,220
5/2/18 12:00 AM,,,Sensor Name,0,0
5/2/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,575,608
5/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,807,928
5/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,733,610
5/2/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,411,420
5/2/18 12:00 AM,UC Berkeley,DOE Library,Doe North,2143,2026
5/2/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1623,1756
5/2/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,2270,2398
5/2/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,961,989
5/2/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,755,725
5/2/18 12:00 AM,UC Berkeley,EART Library,Earth North,139,118
5/2/18 12:00 AM,UC Berkeley,EART Library,Earth South,113,134
5/2/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,2295,2298
5/2/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,1471,1458
5/2/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,338,345
5/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4584,84
5/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,29,4133
5/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3126,3193
