Date-Time,Region,Facility,Entrance,Entries,Exits
4/1/18 12:00 AM,,,Sensor 24,0,0
4/1/18 12:00 AM,,,Sensor 25,0,0
4/1/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
4/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,3,3
4/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
4/1/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,11,12
4/1/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1,1
4/1/18 12:00 AM,UC Berkeley,DOE Library,Doe South,45,46
4/1/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,4,8
4/1/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,5,0
4/1/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,0,0
4/1/18 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
4/1/18 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
4/1/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
4/1/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,532,531
4/1/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,0,0
4/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,9,1
4/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,10,11
4/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1,8
4/1/18 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
4/1/18 12:00 AM,UC Berkeley,NEWS Library,News,0,0
4/1/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
4/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
4/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
4/1/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
4/2/18 12:00 AM,,,Sensor 24,0,0
4/2/18 12:00 AM,,,Sensor 25,0,0
4/2/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,731,726
4/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,792,962
4/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,687,515
4/2/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,805,821
4/2/18 12:00 AM,UC Berkeley,DOE Library,Doe North,2144,2062
4/2/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1660,1752
4/2/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1247,1431
4/2/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,770,820
4/2/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,599,599
4/2/18 12:00 AM,UC Berkeley,EART Library,Earth North,130,165
4/2/18 12:00 AM,UC Berkeley,EART Library,Earth South,157,124
4/2/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,2148,2137
4/2/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,974,974
4/2/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,556,557
4/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,3647,50
4/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,23,2951
4/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3179,3184
4/2/18 12:00 AM,UC Berkeley,MORR Library,Morrison,405,380
