Date-Time,Region,Facility,Entrance,Entries,Exits
10/1/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,3,3
10/1/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1261,1124
10/1/17 12:00 AM,UC Berkeley,DOE Library,Doe South,569,705
10/1/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1267,1454
10/1/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,504,484
10/1/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
10/1/17 12:00 AM,UC Berkeley,EART Library,Earth North,1,1
10/1/17 12:00 AM,UC Berkeley,EART Library,Earth South,1,1
10/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2782,30
10/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,21,2485
10/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2915,2482
10/1/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
10/2/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,813,833
10/2/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2422,2292
10/2/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1793,1955
10/2/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,2053,2141
10/2/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,983,1031
10/2/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
10/2/17 12:00 AM,UC Berkeley,EART Library,Earth North,159,204
10/2/17 12:00 AM,UC Berkeley,EART Library,Earth South,195,149
10/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,5293,84
10/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,27,4764
10/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,4168,4356
10/2/17 12:00 AM,UC Berkeley,NEWS Library,News,99,96
10/3/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,755,775
10/3/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2246,2131
10/3/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1702,1871
10/3/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1877,1865
