Date-Time,Region,Facility,Entrance,Entries,Exits
2/1/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,657,659
2/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,575,762
2/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,515,360
2/1/18 12:00 AM,UC Berkeley,CHEM Library,Sensor 25,0,0
2/1/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1887,1853
2/1/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1595,1625
2/1/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,921,890
2/1/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,689,680
2/1/18 12:00 AM,UC Berkeley,EAL Library,EAL,217,140
2/1/18 12:00 AM,UC Berkeley,EART Library,Earth North,127,207
2/1/18 12:00 AM,UC Berkeley,EART Library,Earth South,219,141
2/1/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,1904,1881
2/1/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,831,838
2/1/18 12:00 AM,UC Berkeley,MATH Library,Sensor 24,551,367
2/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,3497,65
2/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,23,3251
2/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3298,3487
2/1/18 12:00 AM,UC Berkeley,MORR Library,Morrison,328,326
2/1/18 12:00 AM,UC Berkeley,NEWS Library,News,99,91
2/1/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,158,157
2/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,87,89
2/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,64,71
2/1/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,107,102
2/2/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,588,568
2/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,340,454
2/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,338,249
2/2/18 12:00 AM,UC Berkeley,CHEM Library,Sensor 25,0,0
2/2/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1556,1452
2/2/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1284,1404
2/2/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,621,577
2/2/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,612,654
2/2/18 12:00 AM,UC Berkeley,EAL Library,EAL,151,119
2/2/18 12:00 AM,UC Berkeley,EART Library,Earth North,90,108
2/2/18 12:00 AM,UC Berkeley,EART Library,Earth South,120,105
2/2/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,1375,1381
2/2/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,437,440
2/2/18 12:00 AM,UC Berkeley,MATH Library,Sensor 24,388,240
2/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1981,47
2/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,16,1788
