Date.Time,Region,Facility,Entrance,Entries,Exits
7/8/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,1,1
7/8/17 12:00 AM,UC Berkeley,DOE Library,Doe North,997,898
7/8/17 12:00 AM,UC Berkeley,DOE Library,Doe South,482,570
7/8/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,147,124
7/8/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,208,194
7/8/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/8/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/8/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,618,9
7/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,18,633
7/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,4,3
7/8/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/9/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,2
7/9/17 12:00 AM,UC Berkeley,DOE Library,Doe North,881,815
7/9/17 12:00 AM,UC Berkeley,DOE Library,Doe South,406,450
7/9/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,126,123
7/9/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,168,176
7/9/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/9/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/9/17 12:00 AM,UC Berkeley,EART Library,Earth South,1,0
7/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,797,14
7/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,12,791
7/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1,3
7/9/17 12:00 AM,UC Berkeley,NEWS Library,News,5,5
7/10/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,486,474
7/10/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1592,1520
7/10/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1067,1158
7/10/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,243,260
7/10/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,348,443
7/10/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/10/17 12:00 AM,UC Berkeley,EART Library,Earth North,65,87
7/10/17 12:00 AM,UC Berkeley,EART Library,Earth South,64,46
7/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1796,37
7/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,32,1551
7/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,307,498
7/10/17 12:00 AM,UC Berkeley,NEWS Library,News,83,82
7/11/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,457,445
7/11/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1476,1454
7/11/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1020,1077
7/11/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,258,268
7/11/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,278,356
7/11/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/11/17 12:00 AM,UC Berkeley,EART Library,Earth North,62,73
7/11/17 12:00 AM,UC Berkeley,EART Library,Earth South,75,64
7/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1633,52
7/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1357
7/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,436,629
7/11/17 12:00 AM,UC Berkeley,NEWS Library,News,115,116
7/12/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,537,512
7/12/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1542,1484
7/12/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1075,1162
7/12/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,255,270
7/12/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,308,406
7/12/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/12/17 12:00 AM,UC Berkeley,EART Library,Earth North,70,92
7/12/17 12:00 AM,UC Berkeley,EART Library,Earth South,76,56
7/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1676,38
7/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,12,1388
7/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,554,756
7/12/17 12:00 AM,UC Berkeley,NEWS Library,News,95,96
7/13/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,420,433
7/13/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1622,1618
7/13/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1032,1098
7/13/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,221,226
7/13/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,290,358
7/13/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/13/17 12:00 AM,UC Berkeley,EART Library,Earth North,87,99
7/13/17 12:00 AM,UC Berkeley,EART Library,Earth South,62,53
7/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1321,31
7/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,1126
7/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,446,589
7/13/17 12:00 AM,UC Berkeley,NEWS Library,News,87,86
7/14/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,533,418
7/14/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1285,1112
7/14/17 12:00 AM,UC Berkeley,DOE Library,Doe South,793,887
7/14/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,149,158
7/14/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,238,297
7/14/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/14/17 12:00 AM,UC Berkeley,EART Library,Earth North,76,83
7/14/17 12:00 AM,UC Berkeley,EART Library,Earth South,55,46
7/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,848,25
7/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,10,669
7/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,216,337
7/14/17 12:00 AM,UC Berkeley,NEWS Library,News,109,106
7/15/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,2
7/15/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1082,1003
7/15/17 12:00 AM,UC Berkeley,DOE Library,Doe South,474,537
7/15/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,105,88
7/15/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,145,140
7/15/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/15/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/15/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/15/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,421,10
7/15/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,16,355
7/15/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,172,265
7/15/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/16/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,2
7/16/17 12:00 AM,UC Berkeley,DOE Library,Doe North,923,890
7/16/17 12:00 AM,UC Berkeley,DOE Library,Doe South,495,536
7/16/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,109,110
7/16/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,118,140
7/16/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/16/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/16/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/16/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,537,10
7/16/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,23,428
7/16/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,187,311
7/16/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/17/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,537,463
