Date-Time,Region,Facility,Entrance,Entries,Exits
7/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,913,41
7/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,13,754
7/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,966,1036
7/3/18 12:00 AM,UC Berkeley,MORR Library,Morrison,220,203
7/3/18 12:00 AM,UC Berkeley,MUSI,MUSI,84,84
7/3/18 12:00 AM,UC Berkeley,NEWS Library,News,91,92
7/3/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,19,18
7/3/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/3/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,16,19
7/3/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,9,9
7/3/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,57,54
7/4/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/4/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/4/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
7/4/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,3,0
7/4/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
7/4/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,18,18
7/4/18 12:00 AM,UC Berkeley,DOE Library,Doe North,9,9
7/4/18 12:00 AM,UC Berkeley,DOE Library,Doe South,54,53
7/4/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,10,10
7/4/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,7,1
7/4/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,0,0
7/4/18 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/4/18 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/4/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
7/4/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
7/4/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/4/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,5,7
7/4/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4,1
7/4/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,12,16
7/4/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,4,4
7/4/18 12:00 AM,UC Berkeley,MORR Library,Morrison,6,5
7/4/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
7/4/18 12:00 AM,UC Berkeley,NEWS Library,News,1,1
7/4/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
7/4/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/4/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
7/4/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
7/4/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
7/5/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/5/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/5/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,503,463
7/5/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,226,279
7/5/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,187,172
7/5/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,141,144
7/5/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1348,1321
7/5/18 12:00 AM,UC Berkeley,DOE Library,Doe South,839,875
7/5/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,187,213
7/5/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,255,330
7/5/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,275,268
7/5/18 12:00 AM,UC Berkeley,EART Library,Earth North,76,93
7/5/18 12:00 AM,UC Berkeley,EART Library,Earth South,112,99
7/5/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,329,319
7/5/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,306,306
7/5/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
