Date-Time,Region,Facility,Entrance,Entries,Exits
12/1/17 12:00 AM,,,VLSB1,0,0
12/1/17 12:00 AM,,,VLSB2,0,0
12/1/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,588,578
12/1/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1709,1630
12/1/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1483,1601
12/1/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1037,937
12/1/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,750,791
12/1/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/1/17 12:00 AM,UC Berkeley,EART Library,Earth North,125,123
12/1/17 12:00 AM,UC Berkeley,EART Library,Earth South,129,136
12/1/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,1398,1386
12/1/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,648,654
12/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2868,60
12/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,32,2752
12/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2655,3276
12/1/17 12:00 AM,UC Berkeley,MORR Library,Morrison,245,245
12/1/17 12:00 AM,UC Berkeley,NEWS Library,News,108,108
12/1/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,109,107
12/1/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,71,71
12/1/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,62,66
12/1/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,119,111
12/2/17 12:00 AM,,,VLSB1,0,0
12/2/17 12:00 AM,,,VLSB2,0,0
12/2/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,2,3
12/2/17 12:00 AM,UC Berkeley,DOE Library,Doe North,889,760
12/2/17 12:00 AM,UC Berkeley,DOE Library,Doe South,544,521
12/2/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1094,935
12/2/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,441,297
12/2/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/2/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
12/2/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
12/2/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,453,458
12/2/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,241,245
12/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1809,22
12/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1821
12/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1394,1522
12/2/17 12:00 AM,UC Berkeley,MORR Library,Morrison,5,4
12/2/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
12/2/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,11,11
12/2/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,12,9
12/2/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,19,19
12/2/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
12/3/17 12:00 AM,,,VLSB1,0,0
12/3/17 12:00 AM,,,VLSB2,0,0
12/3/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,1,1
12/3/17 12:00 AM,UC Berkeley,DOE Library,Doe North,835,729
12/3/17 12:00 AM,UC Berkeley,DOE Library,Doe South,485,549
12/3/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,998,1036
12/3/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,400,390
12/3/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/3/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
12/3/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
12/3/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,792,792
12/3/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,759,772
12/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2121,28
12/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,22,1918
12/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2341,2111
12/3/17 12:00 AM,UC Berkeley,MORR Library,Morrison,6,3
12/3/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
12/3/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,8,8
12/3/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,20,17
12/3/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,22,22
12/3/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,36,37
12/4/17 12:00 AM,,,VLSB1,0,0
12/4/17 12:00 AM,,,VLSB2,0,0
12/4/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,519,608
12/4/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2140,2031
12/4/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1606,1768
12/4/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1910,1993
12/4/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,1060,1083
12/4/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/4/17 12:00 AM,UC Berkeley,EART Library,Earth North,139,154
12/4/17 12:00 AM,UC Berkeley,EART Library,Earth South,142,129
12/4/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,1848,1859
12/4/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,1380,1386
12/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4039,59
12/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,31,3624
12/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3080,3210
12/4/17 12:00 AM,UC Berkeley,MORR Library,Morrison,400,404
12/4/17 12:00 AM,UC Berkeley,NEWS Library,News,122,125
12/4/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,244,239
12/4/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,139,141
12/4/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,100,118
12/4/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,228,222
12/5/17 12:00 AM,,,VLSB1,0,0
12/5/17 12:00 AM,,,VLSB2,0,0
12/5/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,520,536
12/5/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2070,1950
12/5/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1613,1716
12/5/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,2273,2272
12/5/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,1051,1078
12/5/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/5/17 12:00 AM,UC Berkeley,EART Library,Earth North,149,161
12/5/17 12:00 AM,UC Berkeley,EART Library,Earth South,119,114
12/5/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,2139,2139
12/5/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,1401,1427
12/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4446,52
12/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,22,4119
12/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3135,3193
12/5/17 12:00 AM,UC Berkeley,MORR Library,Morrison,228,223
12/5/17 12:00 AM,UC Berkeley,NEWS Library,News,116,115
12/5/17 12:00 AM,UC Berkeley,OPTO Library,OPTO,237,236
12/5/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,108,110
12/5/17 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,84,97
12/5/17 12:00 AM,UC Berkeley,SOCR Library,SOCR,231,219
12/6/17 12:00 AM,,,VLSB1,0,0
12/6/17 12:00 AM,,,VLSB2,0,0
12/6/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,526,558
12/6/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2072,1963
12/6/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1592,1749
12/6/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,2413,2490
12/6/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,1014,1074
12/6/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
12/6/17 12:00 AM,UC Berkeley,EART Library,Earth North,173,171
12/6/17 12:00 AM,UC Berkeley,EART Library,Earth South,155,155
12/6/17 12:00 AM,UC Berkeley,ENGI Library,ENGI,2126,2121
12/6/17 12:00 AM,UC Berkeley,ENVI Library,ENVI,1512,1514
