Date-Time,Region,Facility,Entrance,Entries,Exits
6/1/18 12:00 AM,,,Sensor Name,0,0
6/1/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,263,205
6/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,130,161
6/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,103,75
6/1/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,57,59
6/1/18 12:00 AM,UC Berkeley,DOE Library,Doe North,746,625
6/1/18 12:00 AM,UC Berkeley,DOE Library,Doe South,652,729
6/1/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,93,103
6/1/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,190,226
6/1/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,199,199
6/1/18 12:00 AM,UC Berkeley,EART Library,Earth North,34,29
6/1/18 12:00 AM,UC Berkeley,EART Library,Earth South,25,29
6/1/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,110,109
6/1/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,121,122
6/1/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,77,79
6/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,401,25
6/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,18,336
6/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,241,273
6/1/18 12:00 AM,UC Berkeley,MORR Library,Morrison,124,119
6/1/18 12:00 AM,UC Berkeley,MUSI,MUSI,69,69
6/1/18 12:00 AM,UC Berkeley,NEWS Library,News,92,90
6/1/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,18,16
6/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,54,54
6/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,52,54
6/1/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,56,47
6/2/18 12:00 AM,,,Sensor Name,0,0
6/2/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,22,26
6/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,7,7
6/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
6/2/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,22,23
6/2/18 12:00 AM,UC Berkeley,DOE Library,Doe North,4,4
6/2/18 12:00 AM,UC Berkeley,DOE Library,Doe South,81,72
6/2/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,11,9
6/2/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,11,3
6/2/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,5,3
6/2/18 12:00 AM,UC Berkeley,EART Library,Earth North,3,1
6/2/18 12:00 AM,UC Berkeley,EART Library,Earth South,1,3
6/2/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
6/2/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
6/2/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,2,4
6/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,7,0
6/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,22
6/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2,3
6/2/18 12:00 AM,UC Berkeley,MORR Library,Morrison,1,1
6/2/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
6/2/18 12:00 AM,UC Berkeley,NEWS Library,News,1,0
6/2/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
6/2/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
6/2/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
6/2/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
6/3/18 12:00 AM,,,Sensor Name,0,0
6/3/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
6/3/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,4,5
6/3/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
6/3/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,6,6
6/3/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1,1
6/3/18 12:00 AM,UC Berkeley,DOE Library,Doe South,41,39
6/3/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,6,6
6/3/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,8,5
6/3/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,2,2
6/3/18 12:00 AM,UC Berkeley,EART Library,Earth North,1,1
6/3/18 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
6/3/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
6/3/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
6/3/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,0,0
6/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,10,1
6/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,15,21
6/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2,5
6/3/18 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
6/3/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
6/3/18 12:00 AM,UC Berkeley,NEWS Library,News,0,0
6/3/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
6/3/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,1,2
6/3/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
6/3/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
6/4/18 12:00 AM,,,Sensor Name,0,0
6/4/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,321,326
6/4/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,118,135
6/4/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,122,112
6/4/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,65,64
6/4/18 12:00 AM,UC Berkeley,DOE Library,Doe North,721,722
6/4/18 12:00 AM,UC Berkeley,DOE Library,Doe South,711,739
