Date-Time,Region,Facility,Entrance,Entries,Exits
9/1/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,754,739
9/1/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2088,2059
9/1/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1493,1624
9/1/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,732,740
9/1/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,744,832
9/1/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
9/1/17 12:00 AM,UC Berkeley,EART Library,Earth North,99,94
9/1/17 12:00 AM,UC Berkeley,EART Library,Earth South,93,97
9/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,3066,92
9/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,29,2706
9/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,2323,2771
9/1/17 12:00 AM,UC Berkeley,NEWS Library,News,81,80
9/2/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,7,6
9/2/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1302,1046
9/2/17 12:00 AM,UC Berkeley,DOE Library,Doe South,647,715
9/2/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1265,1107
9/2/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,631,498
9/2/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
9/2/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
9/2/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
9/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2332,74
9/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,23,2278
9/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1416,1547
9/2/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
9/3/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,5,5
9/3/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1196,1000
9/3/17 12:00 AM,UC Berkeley,DOE Library,Doe South,517,704
9/3/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,753,763
9/3/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,483,508
9/3/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
9/3/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
9/3/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
9/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1434,30
9/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,20,1470
9/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1770,1676
9/3/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
9/4/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
9/4/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1,1
9/4/17 12:00 AM,UC Berkeley,DOE Library,Doe South,56,55
