Date-Time,Region,Facility,Entrance,Entries,Exits
8/1/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,478,471
8/1/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1606,1575
8/1/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1056,1089
8/1/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,295,298
8/1/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,371,430
8/1/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/1/17 12:00 AM,UC Berkeley,EART Library,Earth North,32,34
8/1/17 12:00 AM,UC Berkeley,EART Library,Earth South,46,46
8/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1439,37
8/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,10,1145
8/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,726,955
8/1/17 12:00 AM,UC Berkeley,NEWS Library,News,103,106
8/2/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,443,401
8/2/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1460,1451
8/2/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1072,1100
8/2/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,250,269
8/2/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,256,335
8/2/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/2/17 12:00 AM,UC Berkeley,EART Library,Earth North,46,64
8/2/17 12:00 AM,UC Berkeley,EART Library,Earth South,71,52
8/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1454,36
8/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,20,1110
8/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,912,1206
8/2/17 12:00 AM,UC Berkeley,NEWS Library,News,68,68
8/3/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,636,527
8/3/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1531,1434
8/3/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1048,1092
8/3/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,176,219
8/3/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,323,393
8/3/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/3/17 12:00 AM,UC Berkeley,EART Library,Earth North,41,46
8/3/17 12:00 AM,UC Berkeley,EART Library,Earth South,34,29
8/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1127,36
8/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,13,736
8/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,750,936
8/3/17 12:00 AM,UC Berkeley,NEWS Library,News,91,91
8/4/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,467,425
8/4/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1142,1014
8/4/17 12:00 AM,UC Berkeley,DOE Library,Doe South,848,913
8/4/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,132,82
8/4/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,280,321
8/4/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/4/17 12:00 AM,UC Berkeley,EART Library,Earth North,44,46
8/4/17 12:00 AM,UC Berkeley,EART Library,Earth South,43,41
8/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,295,18
8/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,4,383
8/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,456,593
8/4/17 12:00 AM,UC Berkeley,NEWS Library,News,78,77
8/5/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,10,11
8/5/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1286,1079
8/5/17 12:00 AM,UC Berkeley,DOE Library,Doe South,437,648
8/5/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,184,205
8/5/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,171,191
8/5/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/5/17 12:00 AM,UC Berkeley,EART Library,Earth North,1,1
8/5/17 12:00 AM,UC Berkeley,EART Library,Earth South,1,0
8/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,660,10
8/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,10,517
8/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,418,522
8/5/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
8/6/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,4,5
8/6/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1001,928
8/6/17 12:00 AM,UC Berkeley,DOE Library,Doe South,445,506
8/6/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,0,0
8/6/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,177,181
8/6/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/6/17 12:00 AM,UC Berkeley,EART Library,Earth North,3,3
8/6/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
8/6/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,0,0
8/6/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,0,0
8/6/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,465,640
8/6/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
8/7/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,528,486
8/7/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1707,1569
8/7/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1051,1181
8/7/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,0,0
8/7/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,379,437
8/7/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/7/17 12:00 AM,UC Berkeley,EART Library,Earth North,61,71
8/7/17 12:00 AM,UC Berkeley,EART Library,Earth South,70,59
8/7/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,0,0
8/7/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,0,0
8/7/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1040,1240
8/7/17 12:00 AM,UC Berkeley,NEWS Library,News,102,104
8/8/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,529,546
8/8/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1597,1572
8/8/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1093,1182
8/8/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,364,354
8/8/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,438,541
8/8/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/8/17 12:00 AM,UC Berkeley,EART Library,Earth North,57,66
8/8/17 12:00 AM,UC Berkeley,EART Library,Earth South,85,76
8/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1367,20
8/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,7,1323
8/8/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1076,1279
8/8/17 12:00 AM,UC Berkeley,NEWS Library,News,87,87
8/9/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,500,518
8/9/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1569,1501
8/9/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1186,1266
8/9/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,397,413
8/9/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,433,486
8/9/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/9/17 12:00 AM,UC Berkeley,EART Library,Earth North,58,66
8/9/17 12:00 AM,UC Berkeley,EART Library,Earth South,55,48
8/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1887,38
8/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1503
8/9/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1087,1386
8/9/17 12:00 AM,UC Berkeley,NEWS Library,News,99,99
8/10/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,530,438
8/10/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1708,1532
8/10/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1180,1296
8/10/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,251,277
8/10/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,338,417
8/10/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/10/17 12:00 AM,UC Berkeley,EART Library,Earth North,46,60
8/10/17 12:00 AM,UC Berkeley,EART Library,Earth South,60,45
8/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1316,41
8/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,18,1041
8/10/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,744,940
8/10/17 12:00 AM,UC Berkeley,NEWS Library,News,80,82
8/11/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,439,422
8/11/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1251,1153
8/11/17 12:00 AM,UC Berkeley,DOE Library,Doe South,908,973
8/11/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,145,126
8/11/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,196,217
8/11/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/11/17 12:00 AM,UC Berkeley,EART Library,Earth North,63,76
8/11/17 12:00 AM,UC Berkeley,EART Library,Earth South,66,51
8/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,669,28
8/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,22,579
8/11/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,257,341
8/11/17 12:00 AM,UC Berkeley,NEWS Library,News,72,68
8/12/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
8/12/17 12:00 AM,UC Berkeley,DOE Library,Doe North,4,4
8/12/17 12:00 AM,UC Berkeley,DOE Library,Doe South,135,124
8/12/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,9,7
8/12/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,3,0
8/12/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/12/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
8/12/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
8/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,6,5
8/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,24,38
8/12/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,130,119
8/12/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
8/13/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
8/13/17 12:00 AM,UC Berkeley,DOE Library,Doe North,0,0
8/13/17 12:00 AM,UC Berkeley,DOE Library,Doe South,45,42
8/13/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,3,1
8/13/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,4,2
8/13/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/13/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
8/13/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
8/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,4,0
8/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,32,31
8/13/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,20,21
8/13/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
8/14/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,563,493
8/14/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1584,1367
8/14/17 12:00 AM,UC Berkeley,DOE Library,Doe South,807,978
8/14/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,138,148
8/14/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,254,302
8/14/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
8/14/17 12:00 AM,UC Berkeley,EART Library,Earth North,48,63
8/14/17 12:00 AM,UC Berkeley,EART Library,Earth South,54,41
8/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,518,34
8/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,32,432
8/14/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,187,258
8/14/17 12:00 AM,UC Berkeley,NEWS Library,News,70,74
8/15/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,713,655
